rank,tier,score,id,domain,topic,dimension,viewpoint,inspect_signals,executive_failure,probe_method
13,P0,94.4,D12-T01-V3,セキュリティ,テナント分離,下方リスク・早期警戒責任,テナント分離の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「1件の分離破りがSaaS事業の信用を壊す」が顕在化する前に経営判断へつなげられること。,クロステナントアクセス防止設計と継続テスト,1件の分離破りがSaaS事業の信用を壊す,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
14,P0,94.385,D02-T02-V3,継続率・顧客維持,GRR,下方リスク・早期警戒責任,GRRの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「既存売上の毀損が慢性化する」が顕在化する前に経営判断へつなげられること。,GRRの全体・プラン・業種別推移,既存売上の毀損が慢性化する,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
15,P0,94.385,D12-T02-V3,セキュリティ,認証・認可,下方リスク・早期警戒責任,認証・認可の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「認証済みユーザーが他権限へ越境する」が顕在化する前に経営判断へつなげられること。,最小権限、RBAC/ABAC、特権操作管理,認証済みユーザーが他権限へ越境する,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
16,P0,94.355,D02-T04-V3,継続率・顧客維持,更新確度,下方リスク・早期警戒責任,更新確度の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「更新交渉の手遅れでARRを失う」が顕在化する前に経営判断へつなげられること。,90/120/180日前の更新見込みと金額,更新交渉の手遅れでARRを失う,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
17,P0,94.35,D01-T01-V2,事業成果・売上成長,ARR/MRR成長率,構造・因果の説明責任,ARR/MRR成長率の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,ARR/MRRの計画値・実績値・前年差・成長寄与の内訳,成長鈍化を販促不足だけで説明し、構造要因を見逃す,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
18,P0,94.34,D02-T05-V3,継続率・顧客維持,大口顧客更新,下方リスク・早期警戒責任,大口顧客更新の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「大口解約が予告なく業績へ直撃する」が顕在化する前に経営判断へつなげられること。,上位顧客の更新日、リスク、代替策,大口解約が予告なく業績へ直撃する,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
19,P0,94.31,D12-T07-V3,セキュリティ,インシデント対応,下方リスク・早期警戒責任,インシデント対応の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「初動遅延で被害と説明責任が拡大する」が顕在化する前に経営判断へつなげられること。,役割、連絡、封じ込め、法的通知の訓練,初動遅延で被害と説明責任が拡大する,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
20,P0,94.305,D01-T04-V2,事業成果・売上成長,売上計画達成率,構造・因果の説明責任,売上計画達成率の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,月次・四半期・通期の売上計画差異,期末に未達が顕在化し修正余地を失う,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
21,P0,94.25,D03-T01-V1,収益性・ユニットエコノミクス,粗利率,結果・状態の説明責任,粗利率について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,SaaS粗利率、COGS内訳、前年差,売上成長と同時に粗利率が悪化する,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
22,P0,94.25,D11-T01-V1,信頼性・SRE・BCP,SLO達成,結果・状態の説明責任,SLO達成について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,可用性・遅延・正確性等のSLOと実績,平均値で重大顧客影響を隠す,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
23,P0,94.235,D03-T02-V1,収益性・ユニットエコノミクス,顧客単位粗利,結果・状態の説明責任,顧客単位粗利について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,テナント別売上・クラウド原価・サポート原価,高売上顧客が実は赤字になる,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
24,P0,94.22,D11-T03-V1,信頼性・SRE・BCP,重大障害件数,結果・状態の説明責任,重大障害件数について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,Sev1/Sev2の件数・影響顧客・影響時間,障害総数だけで重大度を薄める,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
25,P0,94.205,D11-T04-V1,信頼性・SRE・BCP,MTTR,結果・状態の説明責任,MTTRについて、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,検知から復旧までの時間と工程別遅延,復旧が属人化して長期化する,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
26,P0,94.19,D03-T05-V1,収益性・ユニットエコノミクス,クラウドCOGS,結果・状態の説明責任,クラウドCOGSについて、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,売上比クラウド費、主要サービス別増減,利用増が粗利を削る構造を放置する,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
27,P0,94.175,D11-T06-V1,信頼性・SRE・BCP,RTO/RPO,結果・状態の説明責任,RTO/RPOについて、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,重要サービス別RTO/RPOと実証結果,目標はあるが復旧訓練で達成できない,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
28,P0,94.16,D11-T07-V1,信頼性・SRE・BCP,DR訓練,結果・状態の説明責任,DR訓練について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,フェイルオーバー・復元の実地結果,紙上BCPが実障害で機能しない,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
29,P0,93.95,D01-T01-V4,事業成果・売上成長,ARR/MRR成長率,意思決定・オーナー責任,ARR/MRR成長率に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,ARR/MRRの計画値・実績値・前年差・成長寄与の内訳,成長鈍化を販促不足だけで説明し、構造要因を見逃す,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
30,P0,93.95,D03-T01-V3,収益性・ユニットエコノミクス,粗利率,下方リスク・早期警戒責任,粗利率の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「売上成長と同時に粗利率が悪化する」が顕在化する前に経営判断へつなげられること。,SaaS粗利率、COGS内訳、前年差,売上成長と同時に粗利率が悪化する,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
31,P0,93.95,D11-T01-V3,信頼性・SRE・BCP,SLO達成,下方リスク・早期警戒責任,SLO達成の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「平均値で重大顧客影響を隠す」が顕在化する前に経営判断へつなげられること。,可用性・遅延・正確性等のSLOと実績,平均値で重大顧客影響を隠す,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
32,P0,93.935,D03-T02-V3,収益性・ユニットエコノミクス,顧客単位粗利,下方リスク・早期警戒責任,顧客単位粗利の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「高売上顧客が実は赤字になる」が顕在化する前に経営判断へつなげられること。,テナント別売上・クラウド原価・サポート原価,高売上顧客が実は赤字になる,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
33,P0,93.92,D11-T03-V3,信頼性・SRE・BCP,重大障害件数,下方リスク・早期警戒責任,重大障害件数の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「障害総数だけで重大度を薄める」が顕在化する前に経営判断へつなげられること。,Sev1/Sev2の件数・影響顧客・影響時間,障害総数だけで重大度を薄める,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
34,P0,93.905,D01-T04-V4,事業成果・売上成長,売上計画達成率,意思決定・オーナー責任,売上計画達成率に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,月次・四半期・通期の売上計画差異,期末に未達が顕在化し修正余地を失う,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
35,P0,93.905,D11-T04-V3,信頼性・SRE・BCP,MTTR,下方リスク・早期警戒責任,MTTRの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「復旧が属人化して長期化する」が顕在化する前に経営判断へつなげられること。,検知から復旧までの時間と工程別遅延,復旧が属人化して長期化する,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
36,P0,93.9,D02-T01-V2,継続率・顧客維持,NRR,構造・因果の説明責任,NRRの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,NRRの全体・セグメント・コホート別推移,Expansionで解約悪化を覆い隠す,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
37,P0,93.9,D12-T01-V2,セキュリティ,テナント分離,構造・因果の説明責任,テナント分離の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,クロステナントアクセス防止設計と継続テスト,1件の分離破りがSaaS事業の信用を壊す,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
38,P0,93.89,D03-T05-V3,収益性・ユニットエコノミクス,クラウドCOGS,下方リスク・早期警戒責任,クラウドCOGSの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「利用増が粗利を削る構造を放置する」が顕在化する前に経営判断へつなげられること。,売上比クラウド費、主要サービス別増減,利用増が粗利を削る構造を放置する,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
39,P0,93.885,D02-T02-V2,継続率・顧客維持,GRR,構造・因果の説明責任,GRRの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,GRRの全体・プラン・業種別推移,既存売上の毀損が慢性化する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
40,P0,93.885,D12-T02-V2,セキュリティ,認証・認可,構造・因果の説明責任,認証・認可の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,最小権限、RBAC/ABAC、特権操作管理,認証済みユーザーが他権限へ越境する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
41,P0,93.875,D11-T06-V3,信頼性・SRE・BCP,RTO/RPO,下方リスク・早期警戒責任,RTO/RPOの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「目標はあるが復旧訓練で達成できない」が顕在化する前に経営判断へつなげられること。,重要サービス別RTO/RPOと実証結果,目標はあるが復旧訓練で達成できない,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
42,P0,93.86,D11-T07-V3,信頼性・SRE・BCP,DR訓練,下方リスク・早期警戒責任,DR訓練の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「紙上BCPが実障害で機能しない」が顕在化する前に経営判断へつなげられること。,フェイルオーバー・復元の実地結果,紙上BCPが実障害で機能しない,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
43,P0,93.855,D02-T04-V2,継続率・顧客維持,更新確度,構造・因果の説明責任,更新確度の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,90/120/180日前の更新見込みと金額,更新交渉の手遅れでARRを失う,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
44,P0,93.84,D02-T05-V2,継続率・顧客維持,大口顧客更新,構造・因果の説明責任,大口顧客更新の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,上位顧客の更新日、リスク、代替策,大口解約が予告なく業績へ直撃する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
45,P0,93.81,D12-T07-V2,セキュリティ,インシデント対応,構造・因果の説明責任,インシデント対応の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,役割、連絡、封じ込め、法的通知の訓練,初動遅延で被害と説明責任が拡大する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
46,P0,93.5,D02-T01-V4,継続率・顧客維持,NRR,意思決定・オーナー責任,NRRに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,NRRの全体・セグメント・コホート別推移,Expansionで解約悪化を覆い隠す,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
47,P0,93.5,D12-T01-V4,セキュリティ,テナント分離,意思決定・オーナー責任,テナント分離に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,クロステナントアクセス防止設計と継続テスト,1件の分離破りがSaaS事業の信用を壊す,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
48,P0,93.485,D02-T02-V4,継続率・顧客維持,GRR,意思決定・オーナー責任,GRRに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,GRRの全体・プラン・業種別推移,既存売上の毀損が慢性化する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
49,P0,93.485,D12-T02-V4,セキュリティ,認証・認可,意思決定・オーナー責任,認証・認可に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,最小権限、RBAC/ABAC、特権操作管理,認証済みユーザーが他権限へ越境する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
50,P0,93.455,D02-T04-V4,継続率・顧客維持,更新確度,意思決定・オーナー責任,更新確度に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,90/120/180日前の更新見込みと金額,更新交渉の手遅れでARRを失う,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
51,P1,93.45,D03-T01-V2,収益性・ユニットエコノミクス,粗利率,構造・因果の説明責任,粗利率の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,SaaS粗利率、COGS内訳、前年差,売上成長と同時に粗利率が悪化する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
52,P1,93.45,D11-T01-V2,信頼性・SRE・BCP,SLO達成,構造・因果の説明責任,SLO達成の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,可用性・遅延・正確性等のSLOと実績,平均値で重大顧客影響を隠す,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
53,P1,93.44,D02-T05-V4,継続率・顧客維持,大口顧客更新,意思決定・オーナー責任,大口顧客更新に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,上位顧客の更新日、リスク、代替策,大口解約が予告なく業績へ直撃する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
54,P1,93.435,D03-T02-V2,収益性・ユニットエコノミクス,顧客単位粗利,構造・因果の説明責任,顧客単位粗利の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,テナント別売上・クラウド原価・サポート原価,高売上顧客が実は赤字になる,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
55,P1,93.42,D11-T03-V2,信頼性・SRE・BCP,重大障害件数,構造・因果の説明責任,重大障害件数の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,Sev1/Sev2の件数・影響顧客・影響時間,障害総数だけで重大度を薄める,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
56,P1,93.41,D12-T07-V4,セキュリティ,インシデント対応,意思決定・オーナー責任,インシデント対応に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,役割、連絡、封じ込め、法的通知の訓練,初動遅延で被害と説明責任が拡大する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
57,P1,93.405,D11-T04-V2,信頼性・SRE・BCP,MTTR,構造・因果の説明責任,MTTRの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,検知から復旧までの時間と工程別遅延,復旧が属人化して長期化する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
58,P1,93.39,D03-T05-V2,収益性・ユニットエコノミクス,クラウドCOGS,構造・因果の説明責任,クラウドCOGSの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,売上比クラウド費、主要サービス別増減,利用増が粗利を削る構造を放置する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
59,P1,93.375,D11-T06-V2,信頼性・SRE・BCP,RTO/RPO,構造・因果の説明責任,RTO/RPOの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,重要サービス別RTO/RPOと実証結果,目標はあるが復旧訓練で達成できない,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
60,P1,93.36,D11-T07-V2,信頼性・SRE・BCP,DR訓練,構造・因果の説明責任,DR訓練の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,フェイルオーバー・復元の実地結果,紙上BCPが実障害で機能しない,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
61,P1,93.05,D03-T01-V4,収益性・ユニットエコノミクス,粗利率,意思決定・オーナー責任,粗利率に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,SaaS粗利率、COGS内訳、前年差,売上成長と同時に粗利率が悪化する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
62,P1,93.05,D11-T01-V4,信頼性・SRE・BCP,SLO達成,意思決定・オーナー責任,SLO達成に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,可用性・遅延・正確性等のSLOと実績,平均値で重大顧客影響を隠す,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
63,P1,93.035,D03-T02-V4,収益性・ユニットエコノミクス,顧客単位粗利,意思決定・オーナー責任,顧客単位粗利に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,テナント別売上・クラウド原価・サポート原価,高売上顧客が実は赤字になる,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
64,P1,93.02,D11-T03-V4,信頼性・SRE・BCP,重大障害件数,意思決定・オーナー責任,重大障害件数に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,Sev1/Sev2の件数・影響顧客・影響時間,障害総数だけで重大度を薄める,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
65,P1,93.005,D11-T04-V4,信頼性・SRE・BCP,MTTR,意思決定・オーナー責任,MTTRに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,検知から復旧までの時間と工程別遅延,復旧が属人化して長期化する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
66,P1,92.99,D03-T05-V4,収益性・ユニットエコノミクス,クラウドCOGS,意思決定・オーナー責任,クラウドCOGSに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,売上比クラウド費、主要サービス別増減,利用増が粗利を削る構造を放置する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
67,P1,92.975,D11-T06-V4,信頼性・SRE・BCP,RTO/RPO,意思決定・オーナー責任,RTO/RPOに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,重要サービス別RTO/RPOと実証結果,目標はあるが復旧訓練で達成できない,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
68,P1,92.96,D11-T07-V4,信頼性・SRE・BCP,DR訓練,意思決定・オーナー責任,DR訓練に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,フェイルオーバー・復元の実地結果,紙上BCPが実障害で機能しない,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
